Handle,Title,Body HTML,Vendor,Type,Tags,Tags Command,Status,Published,Custom Collections,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Variant Grams,Variant Weight Unit,Image Src,Image Position,Image Alt Text
hellbent-dirty-shirley,Hellbent Dirty Shirley,"<p>A cherry-forward sparkling vodka cocktail with a sharp citrus edge. Sweet on the way in, wicked on the way out.</p><ul><li>200 mL single-serve can</li><li>17% ABV</li><li>Tasting notes: Sweet cherry flavor, bright citrus, and a smooth finish.</li></ul>",Hellbent,Ready-to-Drink Cocktail,"hellbent, rtd, canned-cocktail, vodka, cherry, citrus",MERGE,active,FALSE,Hellbent,Title,Default Title,HB-DS-200,19.95,,continue,manual,TRUE,TRUE,240,g,https://www.hellbentcocktails.com/wp-content/uploads/2026/04/dirty-shirly-rev.webp,1,Hellbent Dirty Shirley 200 mL can
hellbent-spicy-rita,Hellbent Spicy Rita,"<p>A tequila margarita built on cool cucumber and lime, with a slow jalapeno burn behind it.</p><ul><li>200 mL single-serve can</li><li>18% ABV</li><li>Tasting notes: Bright lime and cucumber, smooth tequila, and a lingering jalapeno heat.</li></ul>",Hellbent,Ready-to-Drink Cocktail,"hellbent, rtd, canned-cocktail, tequila, margarita, spicy, lime",MERGE,active,FALSE,Hellbent,Title,Default Title,HB-SR-200,19.95,,continue,manual,TRUE,TRUE,240,g,https://www.hellbentcocktails.com/wp-content/uploads/2026/04/spicy-rita-1.webp,1,Hellbent Spicy Rita 200 mL can
hellbent-corpse-reviver,Hellbent Corpse Reviver,"<p>A gin cocktail with a lemon bite and a botanical backbone. The classic reviver, canned.</p><ul><li>200 mL single-serve can</li><li>19% ABV</li><li>Tasting notes: Bright lemon, crisp gin botanicals, and a cool herbal finish.</li></ul>",Hellbent,Ready-to-Drink Cocktail,"hellbent, rtd, canned-cocktail, gin, citrus, herbal",MERGE,active,FALSE,Hellbent,Title,Default Title,HB-CR-200,19.95,,continue,manual,TRUE,TRUE,240,g,https://www.hellbentcocktails.com/wp-content/uploads/2026/04/corpse-reviver-1.webp,1,Hellbent Corpse Reviver 200 mL can
hellbent-rum-reaper,Hellbent Rum Reaper,"<p>Rum with pineapple and citrus, finishing warm and spiced. Tropical, with a shadow over it.</p><ul><li>200 mL single-serve can</li><li>17% ABV</li><li>Tasting notes: Pineapple, citrus, and a warm, spiced rum note that lingers.</li></ul>",Hellbent,Ready-to-Drink Cocktail,"hellbent, rtd, canned-cocktail, rum, tropical, spiced",MERGE,active,FALSE,Hellbent,Title,Default Title,HB-RR-200,19.95,,continue,manual,TRUE,TRUE,240,g,https://www.hellbentcocktails.com/wp-content/uploads/2026/04/rum-reaper.webp,1,Hellbent Rum Reaper 200 mL can
hellbent-coffee-negroni,Hellbent Coffee Negroni,"<p>Bitter liqueur, rum, sweet vermouth and cold brew coffee. Dark, orange-edged and pleasantly bitter.</p><ul><li>200 mL single-serve can</li><li>17% ABV</li><li>Tasting notes: Dark coffee, orange, and a smooth, bitter twist on the finish.</li></ul>",Hellbent,Ready-to-Drink Cocktail,"hellbent, rtd, canned-cocktail, rum, coffee, bitter, negroni",MERGE,active,FALSE,Hellbent,Title,Default Title,HB-CN-200,19.95,,continue,manual,TRUE,TRUE,240,g,https://www.hellbentcocktails.com/wp-content/uploads/2026/04/coffee-negroni.webp,1,Hellbent Coffee Negroni 200 mL can
